2theta/Degree,Intensity_GFO(Ga/Fe=1),Normalised_XRD_different ratio,Ga/Fe=1,Normalised_XRD_different ratio,Ga/Fe=0.5
21.94829,16.17241,21.94829,1.18E-04,21.94829,0.0029
21.96797,17.43723,21.96797,1.27E-04,21.96797,0.00183
21.98765,18.85614,21.98765,1.37E-04,21.98765,0.00463
22.00733,20.45517,22.00733,1.49E-04,22.00733,0.00294
22.02701,22.2661,22.02701,1.62E-04,22.02701,0.00326
22.04669,24.32811,22.04669,1.77E-04,22.04669,0.00607
22.06637,26.69003,22.06637,1.94E-04,22.06637,0.00209
22.08605,29.41382,22.08605,2.14E-04,22.08605,0.00971
22.10573,32.57989,22.10573,2.37E-04,22.10573,0.00349
22.12541,36.2959,22.12541,2.64E-04,22.12541,0.00876
22.14509,40.71127,22.14509,2.96E-04,22.14509,0.00592
22.16477,46.04051,22.16477,3.35E-04,22.16477,0.00721
22.18445,52.59746,22.18445,3.83E-04,22.18445,0.00695
22.20413,60.8388,22.20413,4.43E-04,22.20413,0.00749
22.22381,71.40606,22.22381,5.20E-04,22.22381,0.00728
22.24349,85.14339,22.24349,6.20E-04,22.24349,0.00791
22.26317,103.06402,22.26317,7.50E-04,22.26317,0.00477
22.28285,126.26768,22.28285,9.19E-04,22.28285,0.0039
22.30252,155.9082,22.30252,0.00113,22.30252,0.00338
22.3222,193.45707,22.3222,0.00141,22.3222,0.00759
22.34188,241.56068,22.34188,0.00176,22.34188,0.01113
22.36156,305.70316,22.36156,0.00223,22.36156,0.00857
22.38124,397.22742,22.38124,0.00289,22.38124,0.00971
22.40092,538.56878,22.40092,0.00392,22.40092,0.01219
22.4206,764.43178,22.4206,0.00556,22.4206,0.011
22.44028,1084.07725,22.44028,0.00789,22.44028,0.01291
22.45996,1376.30021,22.45996,0.01002,22.45996,0.00791
22.47964,1455.75456,22.47964,0.0106,22.47964,0.00697
22.49932,1362.91196,22.49932,0.00992,22.49932,0.01146
22.519,1196.31232,22.519,0.00871,22.519,0.00408
22.53868,953.28407,22.53868,0.00694,22.53868,0.00623
22.55836,687.8426,22.55836,0.00501,22.55836,0.00716
22.57804,470.45307,22.57804,0.00342,22.57804,0.01002
22.59772,319.2606,22.59772,0.00232,22.59772,0.0077
22.6174,222.91284,22.6174,0.00162,22.6174,0.00798
22.63708,163.88458,22.63708,0.00119,22.63708,0.01005
22.65676,127.54446,22.65676,9.28E-04,22.65676,0.00703
22.67644,104.13217,22.67644,7.58E-04,22.67644,0.0109
22.69612,87.89759,22.69612,6.40E-04,22.69612,0.00445
22.7158,75.70763,22.7158,5.51E-04,22.7158,0.00925
22.73548,65.9544,22.73548,4.80E-04,22.73548,0.00725
22.75516,57.84599,22.75516,4.21E-04,22.75516,0.01144
22.77484,50.98629,22.77484,3.71E-04,22.77484,0.00667
22.79452,45.14986,22.79452,3.29E-04,22.79452,0.00694
22.8142,40.17723,22.8142,2.92E-04,22.8142,0.00654
22.83388,35.9353,22.83388,2.62E-04,22.83388,0.00783
22.85356,32.30691,22.85356,2.35E-04,22.85356,0.0102
22.87324,29.19004,22.87324,2.12E-04,22.87324,0.00667
22.89292,26.49831,22.89292,1.93E-04,22.89292,0.00865
22.9126,24.16023,22.9126,1.76E-04,22.9126,0.00689
22.93228,22.11749,22.93228,1.61E-04,22.93228,0.00739
22.95195,20.32278,22.95195,1.48E-04,22.95196,0.00759
22.97163,18.73767,22.97163,1.36E-04,22.97163,0.00865
22.99131,17.33084,22.99131,1.26E-04,22.99131,0.00783
23.01099,16.07654,23.01099,1.17E-04,23.01099,0.00829
23.03067,14.95353,23.03067,1.09E-04,23.03067,0.00773
23.05035,13.94412,23.05035,1.01E-04,23.05035,0.01046
23.07003,13.03349,23.07003,9.49E-05,23.07003,0.01129
23.08971,12.20918,23.08971,8.89E-05,23.08971,0.00955
23.10939,11.46061,23.10939,8.34E-05,23.10939,0.01374
23.12907,10.7788,23.12907,7.85E-05,23.12907,0.00803
23.14875,10.15603,23.14875,7.39E-05,23.14875,0.01097
23.16843,9.58569,23.16843,6.98E-05,23.16843,0.0134
23.18811,9.06205,23.18811,6.60E-05,23.18811,0.01203
23.20779,8.58016,23.20779,6.25E-05,23.20779,0.00893
23.22747,8.13569,23.22747,5.92E-05,23.22747,0.01092
23.24715,7.72487,23.24715,5.62E-05,23.24715,0.01062
23.26683,7.34438,23.26683,5.35E-05,23.26683,0.01203
23.28651,6.99132,23.28651,5.09E-05,23.28651,0.01195
23.30619,6.66311,23.30619,4.85E-05,23.30619,0.00769
23.32587,6.35747,23.32587,4.63E-05,23.32587,0.01051
23.34555,6.07238,23.34555,4.42E-05,23.34555,0.01133
23.36523,5.80604,23.36523,4.23E-05,23.36523,0.00757
23.38491,5.55684,23.38491,4.04E-05,23.38491,0.00858
23.40459,5.32335,23.40459,3.87E-05,23.40459,0.01263
23.42427,5.10426,23.42427,3.72E-05,23.42427,0.01115
23.44395,4.89842,23.44395,3.57E-05,23.44395,0.01111
23.46363,4.53847,23.46363,3.30E-05,23.46363,0.00968
23.48331,3.83835,23.48331,2.79E-05,23.48331,0.01366
23.50299,2.98347,23.50299,2.17E-05,23.50299,0.00715
23.52267,2.05423,23.52267,1.50E-05,23.52267,0.01234
23.54235,1.18898,23.54235,8.65E-06,23.54235,0.00865
23.56203,0.65468,23.56203,4.77E-06,23.56203,0.01144
23.58171,0.28628,23.58171,2.08E-06,23.58171,0.01134
23.60138,0.04443,23.60138,3.23E-07,23.60139,0.0117
23.62106,0,23.62106,0,23.62106,0.00933
23.64074,0,23.64074,0,23.64074,0.01183
23.66042,0,23.66042,0,23.66042,0.01289
23.6801,0,23.6801,0,23.6801,0.01165
23.69978,0,23.69978,0,23.69978,0.01204
23.71946,0,23.71946,0,23.71946,0.00924
23.73914,0,23.73914,0,23.73914,0.01619
23.75882,0,23.75882,0,23.75882,0.01053
23.7785,0,23.7785,0,23.7785,0.01323
23.79818,0,23.79818,0,23.79818,0.01196
23.81786,0,23.81786,0,23.81786,0.0124
23.83754,0,23.83754,0,23.83754,0.01413
23.85722,0,23.85722,0,23.85722,0.01116
23.8769,0,23.8769,0,23.8769,0.01465
23.89658,0,23.89658,0,23.89658,0.01671
23.91626,0,23.91626,0,23.91626,0.01855
23.93594,0,23.93594,0,23.93594,0.01447
23.95562,0,23.95562,0,23.95562,0.01137
23.9753,0,23.9753,0,23.9753,0.01335
23.99498,0,23.99498,0,23.99498,0.0142
24.01466,0,24.01466,0,24.01466,0.01704
24.03434,0,24.03434,0,24.03434,0.01353
24.05402,0,24.05402,0,24.05402,0.01209
24.0737,0,24.0737,0,24.0737,0.01578
24.09338,0,24.09338,0,24.09338,0.01367
24.11306,0,24.11306,0,24.11306,0.01744
24.13274,0,24.13274,0,24.13274,0.01589
24.15242,0,24.15242,0,24.15242,0.01498
24.1721,0,24.1721,0,24.1721,0.01265
24.19178,0,24.19178,0,24.19178,0.01358
24.21146,0,24.21146,0,24.21146,0.01963
24.23114,0,24.23114,0,24.23114,0.02045
24.25082,0,24.25082,0,24.25082,0.02164
24.27049,0,24.27049,0,24.27049,0.02319
24.29017,0,24.29017,0,24.29017,0.02761
24.30985,0,24.30985,0,24.30985,0.02572
24.32953,0,24.32953,0,24.32953,0.0203
24.34921,0,24.34921,0,24.34921,0.021
24.36889,0,24.36889,0,24.36889,0.02014
24.38857,0,24.38857,0,24.38857,0.01873
24.40825,0,24.40825,0,24.40825,0.01689
24.42793,0,24.42793,0,24.42793,0.01663
24.44761,0,24.44761,0,24.44761,0.017
24.46729,0,24.46729,0,24.46729,0.01604
24.48697,0,24.48697,0,24.48697,0.015
24.50665,0,24.50665,0,24.50665,0.01751
24.52633,0,24.52633,0,24.52633,0.01785
24.54601,0,24.54601,0,24.54601,0.01616
24.56569,0,24.56569,0,24.56569,0.01678
24.58537,0,24.58537,0,24.58537,0.01532
24.60505,0,24.60505,0,24.60505,0.01945
24.62473,0,24.62473,0,24.62473,0.01477
24.64441,0,24.64441,0,24.64441,0.01744
24.66409,0,24.66409,0,24.66409,0.01576
24.68377,0,24.68377,0,24.68377,0.01633
24.70345,0,24.70345,0,24.70345,0.01691
24.72313,0,24.72313,0,24.72313,0.01614
24.74281,0,24.74281,0,24.74281,0.01764
24.76249,0,24.76249,0,24.76249,0.01803
24.78217,0,24.78217,0,24.78217,0.01973
24.80185,0,24.80185,0,24.80185,0.01591
24.82153,0,24.82153,0,24.82153,0.01673
24.84121,0,24.84121,0,24.84121,0.0155
24.86089,0,24.86089,0,24.86089,0.02152
24.88057,0,24.88057,0,24.88057,0.01824
24.90025,0,24.90025,0,24.90025,0.01877
24.91992,0,24.91992,0,24.91992,0.01904
24.9396,0,24.9396,0,24.9396,0.01965
24.95928,0,24.95928,0,24.95928,0.01426
24.97896,0,24.97896,0,24.97896,0.02203
24.99864,0,24.99864,0,24.99864,0.02023
25.01832,0,25.01832,0,25.01832,0.01678
25.038,0,25.038,0,25.038,0.01219
25.05768,0,25.05768,0,25.05768,0.02257
25.07736,0,25.07736,0,25.07736,0.02012
25.09704,0,25.09704,0,25.09704,0.02019
25.11672,0,25.11672,0,25.11672,0.01772
25.1364,0,25.1364,0,25.1364,0.02041
25.15608,0,25.15608,0,25.15608,0.018
25.17576,0,25.17576,0,25.17576,0.02206
25.19544,0,25.19544,0,25.19544,0.01927
25.21512,0,25.21512,0,25.21512,0.02141
25.2348,0,25.2348,0,25.2348,0.01614
25.25448,0,25.25448,0,25.25448,0.02288
25.27416,0,25.27416,0,25.27416,0.01756
25.29384,0,25.29384,0,25.29384,0.01717
25.31352,0,25.31352,0,25.31352,0.01883
25.3332,0,25.3332,0,25.3332,0.02143
25.35288,0,25.35288,0,25.35288,0.01988
25.37256,0,25.37256,0,25.37256,0.0189
25.39224,0,25.39224,0,25.39224,0.02041
25.41192,0,25.41192,0,25.41192,0.02055
25.4316,0,25.4316,0,25.4316,0.02325
25.45128,0,25.45128,0,25.45128,0.02027
25.47096,0,25.47096,0,25.47096,0.02201
25.49064,0,25.49064,0,25.49064,0.01922
25.51032,0,25.51032,0,25.51032,0.01895
25.53,0,25.53,0,25.53,0.02108
25.54968,0,25.54968,0,25.54968,0.01988
25.56935,0,25.56935,0,25.56936,0.0243
25.58903,0,25.58903,0,25.58903,0.0205
25.60871,0,25.60871,0,25.60871,0.01957
25.62839,0,25.62839,0,25.62839,0.01937
25.64807,0,25.64807,0,25.64807,0.02227
25.66775,0,25.66775,0,25.66775,0.02041
25.68743,0,25.68743,0,25.68743,0.02064
25.70711,0,25.70711,0,25.70711,0.01829
25.72679,0,25.72679,0,25.72679,0.02077
25.74647,0,25.74647,0,25.74647,0.02113
25.76615,0,25.76615,0,25.76615,0.02298
25.78583,0,25.78583,0,25.78583,0.02172
25.80551,0,25.80551,0,25.80551,0.02417
25.82519,0,25.82519,0,25.82519,0.02182
25.84487,0,25.84487,0,25.84487,0.01958
25.86455,0,25.86455,0,25.86455,0.0252
25.88423,0,25.88423,0,25.88423,0.02099
25.90391,0,25.90391,0,25.90391,0.02347
25.92359,0.53416,25.92359,3.89E-06,25.92359,0.02179
